"dept","siren","raison_sociale","nature_juridique","mode_financ","nb_membres","total_pop_tot","total_pop_mun","dep_com","insee","siren_membre","nom_membre","ptot_2023","pmun_2023","path"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31547",213105471,"Seysses",9854,9725,"m 1.2323435,43.117764 0.012981,-0.01006 0.00408,-0.01364 0.023127,0.0033 0.013183,-0.0033 0.048311,0.01221 -0.00328,0.01731 0,0 -0.018378,0.01392 -0.036418,-0.0066 -0.020247,-0.0095 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31499",213104995,"Saint-Lys",9737,9555,"m 1.1761015,43.080889 0.020877,0.0015 0.026578,0.01347 0.013655,0.0025 0.012198,-0.0043 -0.00408,0.01364 -0.012981,0.01006 -0.00288,-0.0015 -0.012491,0.0046 -0.01367,-0.0012 -0.00657,0.0048 0,0 -0.021229,-0.0057 -0.00533,-0.01201 -0.013026,-0.0017 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31203",213102031,"Frouzins",9546,9382,"m 1.3068751,43.081855 0.00477,-0.0053 0.012182,0.005 0.00346,0.0063 0.014079,0.0087 -0.00733,0.0098 0,0 -0.048311,-0.01221 0.00506,-0.0069 0.00805,-0.0075 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31165",213101652,"Eaunes",6547,6448,"m 1.3238495,43.20187 0.00119,-0.0033 0.00493,-0.0059 0.027534,-0.01885 0.00415,-0.0098 0.011803,-0.01021 0.00867,0.0015 -0.00165,0.0063 0.00757,0.0033 -0.00393,0.0058 -0.00431,0.0058 -0.00356,0.02582 -0.00463,0.0057 0,0 -0.011659,-0.0046 -0.021318,0.0046 -0.00194,-0.0032 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31248",213102486,"Labarthe-sur-Lèze",6479,6364,"m 1.3821193,43.155289 0.012536,-0.01644 0.011453,-0.0027 0.004,-0.0051 0.01062,0.01095 -0.00434,0.0124 0.00547,0.01243 -0.021689,0.0017 0.00363,0.009 0,0 -0.019691,-0.0069 0.00393,-0.0058 -0.00757,-0.0033 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31458",213104581,"Roques",4993,4939,"m 1.3413625,43.096504 0.031163,-0.0069 0.00371,0.0022 0.01171,0.0097 -0.016765,0.007 -0.013469,0.0084 -0.00954,0.0066 0,0 -0.00872,-0.0022 -0.00871,0.0024 0.00328,-0.01731 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31421",213104219,"Pins-Justaret",4411,4335,"m 1.3935928,43.126035 0.018407,-0.0066 0.00196,0.0026 -0.00676,0.0068 0.0029,0.0021 -0.004,0.0051 -0.011453,0.0027 -0.012212,-0.0023 -0.00429,0.0056 0,0 -0.00503,-0.0052 2.766e-4,-0.0094 0.011881,-0.0043 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31460",213104607,"Roquettes",4365,4294,"m 1.3935928,43.126035 -0.00831,-0.0027 -0.011881,0.0043 0,0 -0.015692,-0.01066 0.013469,-0.0084 0.018395,0.0088 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31287",213102874,"Lavernose-Lacasse",3482,3394,"m 1.2368402,43.236457 -0.00814,0.0017 -0.015761,-0.0062 -0.00167,0.0031 -0.00217,-0.0094 0.010363,-0.0064 0.012502,-0.0096 0.00876,-0.0017 0.0036,-0.01292 0.011676,0.0052 0.022317,0.0037 -0.00383,0.0019 0.00248,0.0092 -0.00527,0.0093 0,0 -0.00845,0.0217 -0.00402,0.0017 -0.0079,-0.0035 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31253",213102536,"Labastidette",2981,2940,"m 1.2235145,43.165631 6.883e-4,-0.0125 -2.092e-4,-0.0088 0.035761,0.003 8.768e-4,0.0033 -0.00722,0.004 0,0 -0.00823,0.0083 -7.583e-4,0.0067 -0.00438,0.0012 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31420",213104201,"Pinsaguel",2866,2829,"m 1.4094403,43.09579 0.00463,3.64e-4 3.156e-4,0.0034 -0.01623,0.0068 0.01384,0.01314 -0.018407,0.0066 0,0 -0.00402,-0.0088 -0.018395,-0.0088 0.016765,-0.007 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31533",213105331,"Saubens",2377,2324,"m 1.3469988,43.135932 -0.00226,-0.0099 0.00344,-0.0025 0.00954,-0.0066 0.015692,0.01066 -2.766e-4,0.0094 0.00503,0.0052 -0.00258,0.0055 0,0 -0.00919,0.0018 -0.010454,-0.0074 -0.012166,1.59e-4 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31181",213101819,"Le Fauga",2206,2178,"m 1.2717031,43.224179 0.00527,-0.0093 -0.00248,-0.0092 0.00383,-0.0019 0.011673,-0.0093 0.011405,0.0046 0.00694,0.0082 0.00104,0.0132 0.00809,0.0024 0.011232,0.01073 0,0 -0.027478,-0.0052 -0.011417,-0.006 -0.011949,0.0048 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31486",213104862,"Saint-Hilaire",1596,1571,"m 1.2648275,43.181528 0.00904,3.77e-4 0.020742,0.0078 -0.00461,0.0048 -0.011673,0.0093 0,0 -0.022317,-0.0037 -0.011676,-0.0052 0.01266,-0.0096 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31269",213102692,"Lamasquère",1581,1558,"m 1.2294668,43.116272 0.00288,0.0015 0.023364,0.0037 0.020247,0.0095 0,0 -0.00393,0.0057 -0.00865,0.0019 -0.035137,-0.0058 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31475",213104755,"Saint-Clar-de-Rivière",1526,1495,"m 1.1920759,43.130146 0.00616,-0.003 -0.0015,-0.0025 0.00657,-0.0048 0.01367,0.0012 0.012491,-0.0046 -0.00123,0.01651 -0.00424,0.01158 2.092e-4,0.0088 -0.018579,0.0012 -0.010336,0.0068 0,0 -0.00288,-0.0025 0.00507,-0.01605 -0.00927,-0.0066 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31075",213100753,"Bonrepos-sur-Aussonnelle",1272,1249,"m 1.1264173,43.058688 0.031183,-0.0023 0.00232,0.0065 0.012353,0.004 2.237e-4,0.0066 -0.049441,0.007 -0.012325,0.0044 0,0 -0.00389,-0.0087 0.012584,-0.0086 -0.0061,-0.01118 z"
