dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2023;pmun_2023;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01136;210101366;Cruzilles-lès-Mépillat;943;922;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01084;210100848;Chanoz-Châtenay;940;921;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01046;210100467;Biziat;920;912;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01368;210103685;Saint-Julien-sur-Veyle;857;842;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01291;210102919;Perrex;852;844;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01334;210103347;Saint-André-d'Huiriat;689;680;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01355;210103552;Saint-Genis-sur-Menthon;491;484;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01042;210100426;Bey;298;291;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01025;200077220;Bâgé-Dommartin;4172;4068;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01320;210103206;Replonges;3925;3833;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01159;210101598;Feillens;3438;3366;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01305;210103057;Pont-de-Vaux;2238;2195;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01231;210102315;Manziat;1997;1948;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01337;210103370;Saint-Bénigne;1363;1336;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01026;210100269;Bâgé-le-Châtel;1045;977;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01323;210103230;Reyssouze;1035;1018;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01102;210101028;Chevroux;981;966;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01332;210103321;Saint-André-de-Bâgé;815;792;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01175;210101754;Gorrevod;813;790;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01094;210100947;Chavannes-sur-Reyssouze;773;761;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01284;210102844;Ozan;713;700;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01402;210104022;Sermoyer;670;650;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01352;210103529;Saint-Étienne-sur-Reyssouze;591;586;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01057;210100574;Boz;530;514;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01016;210100160;Arbigny;467;458;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01050;210100509;Boissey;384;380;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01439;210104394;Vésines;103;99;;;
